Overzicht Kandidaatgegevens;;;;;;;;;;;;;
Verkiezing: Tweede Kamer der Staten-Generaal 2021 2021;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kieskring;Lijstnummer;Politieke Groepering;Type;Publiceer geslacht;Taal;Nr.;Tussenvoegsel;Achternaam;Voorletters;Roepnaam;Geslacht;Woonplaats;Land
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;51;van;Doeveren;L.N.M.;Laurens;m;Wassenaar;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;52;;Simons;T.C.N.;Tim;m;Made;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;53;;Buijsse;M.R.G.;Martijn;m;Boekel;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;54;;Peters;F.A.J.;Frederik;m;Lent;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;55;;Bakker;R.;Ronald;m;Sprang-Capelle;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;56;;Noomen;C.J.;Kees;m;Amstelveen;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;57;;Vermeulen;S.M.J.;Sanneke;v;Roosendaal;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;58;;Koebrugge;S.A.;Sabine;v;Groningen;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;59;;Achterbergh-Copier;M.;Mark;m;Halfweg;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;60;;Elbertsen;J.;Jenny;v;Apeldoorn;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;61;;Jacobs;B.;Barry;m;Bergen op Zoom;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;62;van;Dijk;S.;Saskia;v;IJsselstein;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;63;;Bellaart;H.M.;Hugo;m;Bussum;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;64;;Maref;R.;Rebin;m;Arnhem;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;65;de;Wolff;I.;Ivo;m;Sint Nicolaasga;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;66;;Groot Bruinderink;L.I.;Laurence;m;New York;US
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;67;;Lambers;L.F.J.M.;Lars;m;Weert;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;68;;Bonnevits-de Jong;L.;Laurine;v;Berkel en Rodenrijs;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;69;;Nelisse;R.M.L.;Mirjam;v;Dirksland;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;70;;Rooijmans;E.M.N.;Liesbeth;v;Apeldoorn;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;71;;Malfait-van Ham;S.S.J.;Sharona;v;Oud Gastel;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;72;ten;Have;R.H.;René;m;'s-Gravenhage;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;73;;Matthijsse;H.A.;Henk;m;Assen;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;74;;Hoen;R.T.;Roelof Theun;m;Noordwolde;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;75;;Janssen;S.M.;Sander;m;Hengelo;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;76;van den;Ham-Jaarsma;E.;Edith;v;Almelo;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;77;;Lauwerysen;F.A.;Filip;m;Grizane;HR
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;78;;Bikkers;B.T.;Bart;m;Vlaardingen;NL
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;79;;Kraanen;C.W.;Kees;m;Amersfoort;NL
