bureau_id,bureau_zip,count_type,party,candidate_id,count
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),2,4801
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),3,3855
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),4,1922
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),5,2824
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),6,3410
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),7,111
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),8,555
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),9,347
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),10,216
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),11,65
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),12,250
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),13,211
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),14,103
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),15,174
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),16,44
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),17,558
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),18,65
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),19,54
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),20,10
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),21,188
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),22,113
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),23,331
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),24,949
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),25,1149
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),26,276
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),27,925
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),28,23
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),29,114
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),30,133
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),31,231
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),32,4568
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),33,22
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),34,16
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),35,67
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),36,12
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),37,40
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),38,120
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),39,391
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),40,66
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),41,16
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),42,63
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),43,23
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),44,5
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),45,12
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),46,14
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),47,4
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),48,28
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),49,15
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),50,11
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),51,12
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),52,4
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),53,12
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),54,133
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),55,6
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),56,11
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),57,3
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),58,2
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),59,8
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),60,20
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),61,50
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),62,12
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),63,19
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),64,7
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),65,0
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),66,0
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),67,10
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),68,13
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),69,107
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),70,5
HSB13::0599,,candidate,GROENLINKS / Partij van de Arbeid (PvdA),71,5
