,Lijstnummer,Aanduiding,Positie,Initialen,Roepnaam,Tussenvoegsels,Achternaam,Geslacht,Woonplaats,Stemmen,Verkiezing,Party_WD_id,Qid,Positie_Groningen,Positie_Fryslan,Positie_Drenthe,Positie_Overijssel,Positie_Flevoland,Positie_Nijmegen,Positie_Arnhem,Positie_Utrecht,Positie_Amsterdam,Positie_Haarlem,Positie_Den_Helder,Positie_Den_Haag,Positie_Rotterdam,Positie_Dordrecht,Positie_Leiden,Positie_Zeeland,Positie_Tilburg,Positie_Den_Bosch,Positie_Limburg,Positie_Caribisch_Nederland,Stemmen_Groningen,Stemmen_Fryslan,Stemmen_Drenthe,Stemmen_Overijssel,Stemmen_Flevoland,Stemmen_Nijmegen,Stemmen_Arnhem,Stemmen_Utrecht,Stemmen_Amsterdam,Stemmen_Haarlem,Stemmen_Den_Helder,Stemmen_Den_Haag,Stemmen_Rotterdam,Stemmen_Dordrecht,Stemmen_Leiden,Stemmen_Zeeland,Stemmen_Tilburg,Stemmen_Den_Bosch,Stemmen_Limburg,Stemmen_Caribisch_Nederland,Stemmen_Maastricht,Positie_Maastricht,Stemmen_Venlo,Positie_Venlo,Stemmen_s-Gravenhage,Positie_s-Gravenhage,Stemmen_s-Hertogenbosch,Positie_s-Hertogenbosch,Stemmen_Gelderland,Positie_Gelderland,Stemmen_Noord_Holland,Positie_Noord_Holland,Stemmen_Zuid_Holland,Positie_Zuid_Holland,Stemmen_Noord_Brabant,Positie_Noord_Brabant,Stemmen_Bonaire,Positie_Bonaire,Stemmen_Saba,Positie_Saba,Stemmen_Sint_Eustatius,Positie_Sint_Eustatius,Stemmen_Buitenland,Positie_Buitenland,Stemmen_Den Helder,Positie_Den Helder,Naam,url
0,1.0,Partij van de Arbeid (P.v.d.A.),5.0,I.L.,Iris,,Vrolijks,v,Maassluis,154.0,GR2018Maassluis,Q275441,Q105835857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iris Vrolijks,https://verkiezingsarchief.nl/kandidaten/1r0fgx/Iris_Vrolijks
1,3.0,Partij van de Arbeid (P.v.d.A.),2.0,I.L.,Iris,,Vrolijks,v,Maassluis,335.0,GR2022Maassluis,Q275441,Q105835857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iris Vrolijks,https://verkiezingsarchief.nl/kandidaten/1r0fgx/Iris_Vrolijks
2,1.0,VVD,1.0,R.M.,Rosemarijn,,Dral,v,Oostzaan,697.0,GR2014Oostzaan,Q239333,Q28861099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemarijn Dral,https://verkiezingsarchief.nl/kandidaten/h6ld7/Rosemarijn_Dral
3,1.0,VVD,1.0,R.M.,Rosemarijn,,Dral,v,Oostzaan,1190.0,GR2018Oostzaan,Q239333,Q28861099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemarijn Dral,https://verkiezingsarchief.nl/kandidaten/h6ld7/Rosemarijn_Dral
4,1.0,VVD,1.0,R.M.,Rosemarijn,,Dral,v,Oostzaan,1169.0,GR2022Oostzaan,Q239333,Q28861099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemarijn Dral,https://verkiezingsarchief.nl/kandidaten/h6ld7/Rosemarijn_Dral
5,3.0,Lijst Someren-Heide,1.0,W.C.P.H.,Wim,,Jaspers,m,Someren,291.0,GR2014Someren,,Q117210291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wim Jaspers,https://verkiezingsarchief.nl/kandidaten/1xs81f/Wim_Jaspers
6,4.0,Lijst Someren-Heide,5.0,W.C.P.H.,Wim,,Jaspers,m,Someren,46.0,GR2018Someren,,Q117210291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wim Jaspers,https://verkiezingsarchief.nl/kandidaten/1xs81f/Wim_Jaspers
7,5.0,LSH,11.0,W.C.P.H.,Wim,,Jaspers,m,Someren,35.0,GR2022Someren,,Q117210291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wim Jaspers,https://verkiezingsarchief.nl/kandidaten/1xs81f/Wim_Jaspers
8,5.0,Burger Belangen Moerdijk,4.0,C.J.,Kitty,,Stoop,v,Moerdijk,110,GR2018Moerdijk,,Q123176332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitty Stoop,https://verkiezingsarchief.nl/kandidaten/21c3gs/Kitty_Stoop
9,7.0,Burger Belangen Moerdijk / BBB Bondgenoot,9.0,C.J.,Kitty,,Stoop,v,Moerdijk,56,GR2022Moerdijk,,Q123176332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitty Stoop,https://verkiezingsarchief.nl/kandidaten/21c3gs/Kitty_Stoop
10,1.0,Staatkundig Gereformeerde Partij (SGP),3.0,P.N.,Nathanaël,,Middelkoop,m,Urk,188.0,GR2018Urk,Q60172,Q123173957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathanaël Middelkoop,https://verkiezingsarchief.nl/kandidaten/21c1mt/Nathanaël_Middelkoop
11,4.0,Staatkundig Gereformeerde Partij (SGP),1.0,P.N.,Nathanaël,,Middelkoop,m,Urk,1398.0,GR2022Urk,Q60172,Q123173957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathanaël Middelkoop,https://verkiezingsarchief.nl/kandidaten/21c1mt/Nathanaël_Middelkoop
12,9.0,Forum voor Democratie,10.0,T.H.P.,,,Baudet,,Amsterdam,93.0,GR2022Urk,Q28163962,Q4462875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thierry Baudet,https://verkiezingsarchief.nl/kandidaten/2nnkr/Thierry_Baudet
13,8.0,SP (Socialistische Partij),1.0,X.M.,Xander,,Topma,,Meppel,983.0,GR2014Meppel,Q849580,Q123176087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xander Topma,https://verkiezingsarchief.nl/kandidaten/21c39z/Xander_Topma
14,6.0,SP (Socialistische Partij),1.0,X.M.,Xander,,Topma,m,Meppel,623.0,GR2018Meppel,Q849580,Q123176087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xander Topma,https://verkiezingsarchief.nl/kandidaten/21c39z/Xander_Topma
15,5.0,SP (Socialistische Partij),1.0,X.M.,Xander,,Topma,m,Meppel,634.0,GR2022Meppel,Q849580,Q123176087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xander Topma,https://verkiezingsarchief.nl/kandidaten/21c39z/Xander_Topma
16,3.0,Democraten 66 (D66),4.0,M.,Mahjoub,,Mathlouti,m,Voorburg,201.0,GR2018Leidschendam-Voorburg,Q747910,Q105750192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahjoub Mathlouti,https://verkiezingsarchief.nl/kandidaten/1qyldc/Mahjoub_Mathlouti
17,4.0,D66,2.0,M.,Mahjoub,,Mathlouti,m,Leidschendam-Voorburg,290.0,GR2022Leidschendam-Voorburg,,Q105750192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahjoub Mathlouti,https://verkiezingsarchief.nl/kandidaten/1qyldc/Mahjoub_Mathlouti
18,9.0,PVV (Partij voor de Vrijheid),3.0,J.J.T.M.,Jan,,Valize,m,Venlo,167,GR2018Venlo,Q332739,Q123176048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Valize,https://verkiezingsarchief.nl/kandidaten/21c38w/Jan_Valize
19,9.0,PVV (Partij voor de Vrijheid),11.0,G.A.,Gom,van,Strien,m,Arcen,57,GR2018Venlo,Q332739,Q2529406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gom van Strien,https://verkiezingsarchief.nl/kandidaten/1i7pa/Gom_van_Strien
20,9.0,PVV (Partij voor de Vrijheid),12.0,L.M.J.S.,Lilian,,Helder,v,Venlo,264,GR2018Venlo,Q332739,Q2854502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lilian Helder,https://verkiezingsarchief.nl/kandidaten/1p6jq/Lilian_Helder
21,5.0,PVV (Partij voor de Vrijheid),3.0,J.J.T.M.,Jan,,Valize,m,Venlo,188,GR2022Venlo,Q332739,Q123176048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Valize,https://verkiezingsarchief.nl/kandidaten/21c38w/Jan_Valize
22,5.0,PVV (Partij voor de Vrijheid),6.0,G.A.,Gom,van,Strien,m,Arcen,55,GR2022Venlo,Q332739,Q2529406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gom van Strien,https://verkiezingsarchief.nl/kandidaten/1i7pa/Gom_van_Strien
23,5.0,PVV (Partij voor de Vrijheid),7.0,L.M.J.S.,Lilian,,Helder,v,Venlo,393,GR2022Venlo,Q332739,Q2854502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lilian Helder,https://verkiezingsarchief.nl/kandidaten/1p6jq/Lilian_Helder
24,8.0,D66,1.0,R.J.M.,Remy,,Maessen,,Venlo,992,GR2022Venlo,Q747910,Q123175998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remy Maessen,https://verkiezingsarchief.nl/kandidaten/21c37i/Remy_Maessen
25,10.0,Forum voor Democratie,1.0,L.C.,,,Heuvelmans,,Venlo,746,GR2022Venlo,Q28163962,Q123215712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lars Heuvelmans,https://verkiezingsarchief.nl/kandidaten/21cxuo/Lars_Heuvelmans
26,10.0,Forum voor Democratie,10.0,S.,,,Kerseboom,,Maastricht,44,GR2022Venlo,Q28163962,Q105709988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S. Kerseboom,https://verkiezingsarchief.nl/kandidaten/1qxqck/S._Kerseboom
27,11.0,DENK,1.0,S.,Selim,,Özçelik,m,Venlo,507,GR2022Venlo,Q28147283,Q123176267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selim Özçelik,https://verkiezingsarchief.nl/kandidaten/21c3ez/Selim_Özçelik
28,8.0,Basis Inkomen Partij (BIP),2.0,T.R.M.,Micha,,Kuiper,m,Egmond aan den Hoef,9.0,GR2014Bergen (NH),,Q123176558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micha Kuiper,https://verkiezingsarchief.nl/kandidaten/21c3n2/Micha_Kuiper
29,12.0,D66,1.0,E.J.,Eelco,,Keij,,,2100,KC2023Niet ingezetenen,,Q28860910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eelco Keij,https://verkiezingsarchief.nl/kandidaten/h6l7y/Eelco_Keij
30,,ChristenUnie,,N.,Nico,,Drost,,,396,GR2010Rhenen,Q239539,Q28861462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nico Drost,https://verkiezingsarchief.nl/kandidaten/h6lna/Nico_Drost
31,,SGP,,G.J.,,van,Laar,,,46,GR2010Rhenen,Q60172,Q123176248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gert van Laar,https://verkiezingsarchief.nl/kandidaten/21c3eg/Gert_van_Laar
32,2.0,Staatkundig Gereformeerde Partij (SGP),1.0,G.J.,,van,Laar,m,Rhenen,1219,GR2014Rhenen,Q60172,Q123176248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gert van Laar,https://verkiezingsarchief.nl/kandidaten/21c3eg/Gert_van_Laar
33,7.0,ChristenUnie,1.0,N.,Nico,,Drost,m,Rhenen,637,GR2014Rhenen,Q239539,Q28861462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nico Drost,https://verkiezingsarchief.nl/kandidaten/h6lna/Nico_Drost
34,1.0,Staatkundig Gereformeerde Partij (SGP),1.0,G.J.,Gert,van,Laar,m,Rhenen,1445,GR2018Rhenen,Q60172,Q123176248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gert van Laar,https://verkiezingsarchief.nl/kandidaten/21c3eg/Gert_van_Laar
35,1.0,Staatkundig Gereformeerde Partij (SGP),5.0,L.C.,Bertrick,van den,Dikkenberg,m,Elst Ut,13,GR2018Rhenen,Q60172,Q123176246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertrick van den Dikkenberg,https://verkiezingsarchief.nl/kandidaten/21c3ee/Bertrick_van_den_Dikkenberg
36,6.0,ChristenUnie,1.0,N.,Nico,,Drost,m,Rhenen,661,GR2018Rhenen,Q239539,Q28861462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nico Drost,https://verkiezingsarchief.nl/kandidaten/h6lna/Nico_Drost
37,1.0,Staatkundig Gereformeerde Partij (SGP),9.0,G.J.,Gert,van,Laar,m,Rhenen,55,GR2022Rhenen,Q60172,Q123176248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gert van Laar,https://verkiezingsarchief.nl/kandidaten/21c3eg/Gert_van_Laar
38,1.0,Staatkundig Gereformeerde Partij (SGP),12.0,L.C.,Bertrick,van den,Dikkenberg,m,Elst Ut,6,GR2022Rhenen,Q60172,Q123176246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertrick van den Dikkenberg,https://verkiezingsarchief.nl/kandidaten/21c3ee/Bertrick_van_den_Dikkenberg
39,4.0,ChristenUnie,23.0,N.,Nico,,Drost,m,Rhenen,21,GR2022Rhenen,Q239539,Q28861462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nico Drost,https://verkiezingsarchief.nl/kandidaten/h6lna/Nico_Drost
40,1.0,ChristenUnie,8.0,A.W.,Alma,,Broekmaat-Hagens,v,Bunschoten-Spakenburg,45.0,GR2014Bunschoten,Q239539,Q123176154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alma Broekmaat-Hagens,https://verkiezingsarchief.nl/kandidaten/21c3bu/Alma_Broekmaat-Hagens
41,1.0,ChristenUnie,3.0,A.W.,Alma,,Broekmaat-Hagens,v,Bunschoten-Spakenburg,82.0,GR2018Bunschoten,Q239539,Q123176154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alma Broekmaat-Hagens,https://verkiezingsarchief.nl/kandidaten/21c3bu/Alma_Broekmaat-Hagens
42,1.0,ChristenUnie,1.0,A.W.,Alma,,Broekmaat-Hagens,v,Bunschoten-Spakenburg,1298.0,GR2022Bunschoten,Q239539,Q123176154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alma Broekmaat-Hagens,https://verkiezingsarchief.nl/kandidaten/21c3bu/Alma_Broekmaat-Hagens
43,,Transparante Partij voor Algemeen Belang (T@B),,J.H.,Henk,de,Vree,,,83.0,GR2010Hardinxveld-Giessendam,Q110860519,Q28861877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henk de Vree,https://verkiezingsarchief.nl/kandidaten/h6lyt/Henk_de_Vree
44,2.0,Staatkundig Gereformeerde Partij (SGP),3.0,M.,,,Slingerland,m,Genemuiden,180.0,GR2014Zwartewaterland,Q60172,Q123176223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maarten Slingerland,https://verkiezingsarchief.nl/kandidaten/21c3dr/Maarten_Slingerland
45,2.0,Staatkundig Gereformeerde Partij (SGP),1.0,M.,Maarten,,Slingerland,m,Genemuiden,1613.0,GR2018Zwartewaterland,Q60172,Q123176223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maarten Slingerland,https://verkiezingsarchief.nl/kandidaten/21c3dr/Maarten_Slingerland
46,2.0,Staatkundig Gereformeerde Partij (SGP),1.0,M.,Maarten,,Slingerland,m,Genemuiden,1972.0,GR2022Zwartewaterland,Q60172,Q123176223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maarten Slingerland,https://verkiezingsarchief.nl/kandidaten/21c3dr/Maarten_Slingerland
47,,VVD,,J.H.,Jan,,Swaag,,,396.0,GR2010Niedorp,Q239333,Q123176344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Swaag,https://verkiezingsarchief.nl/kandidaten/21c3h4/Jan_Swaag
48,3.0,Democraten 66 (D66),3.0,E.,Elze,,Woudstra,v,Rijswijk,220.0,GR2018Rijswijk,Q747910,Q123175983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elze Woudstra,https://verkiezingsarchief.nl/kandidaten/21c373/Elze_Woudstra
49,4.0,D66,1.0,E.,Elze,,Woudstra,,Rijswijk,1566.0,GR2022Rijswijk,Q747910,Q123175983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elze Woudstra,https://verkiezingsarchief.nl/kandidaten/21c373/Elze_Woudstra
50,6.0,CDA,2.0,S.,Simon,,Geleijnse,m,Rijswijk,116.0,GR2022Rijswijk,Q273749,Q28861665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Geleijnse,https://verkiezingsarchief.nl/kandidaten/h6lsx/Simon_Geleijnse
51,2.0,Democraten 66 (D66),7.0,M.,Marvin,,Putuhena,b,Culemborg,107.0,GR2018Culemborg,Q747910,Q123175970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marvin Putuhena,https://verkiezingsarchief.nl/kandidaten/21c36q/Marvin_Putuhena
52,4.0,D66,7.0,M.,Marvin,,Putuhena,,Culemborg,60.0,GR2022Culemborg,Q747910,Q123175970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marvin Putuhena,https://verkiezingsarchief.nl/kandidaten/21c36q/Marvin_Putuhena
53,10.0,Partij voor de Dieren,1.0,M.C.,Myra,van der,Velde,,Culemborg,569.0,GR2022Culemborg,Q663535,Q123176121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myra van der Velde,https://verkiezingsarchief.nl/kandidaten/21c3ax/Myra_van_der_Velde
54,10.0,Partij voor de Dieren,14.0,L.C.,Lester,van der,Pluijm,,Culemborg,9.0,GR2022Culemborg,Q663535,Q123176126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lester van der Pluijm,https://verkiezingsarchief.nl/kandidaten/21c3b2/Lester_van_der_Pluijm
55,4.0,VVD,21.0,M.E.E.,Martin,de,Beer,m,Heerlen,5,GR2018Brunssum,Q239333,Q123175899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin de Beer,https://verkiezingsarchief.nl/kandidaten/21c34r/Martin_de_Beer
56,,CDA,,R.,Ralph,,Diederen,,,135,GR2010Beek,Q273749,Q122190595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralph Diederen,https://verkiezingsarchief.nl/kandidaten/20qyv7/Ralph_Diederen
57,2.0,CDA,1.0,R.,Ralph,,Diederen,m,Beek,497,GR2014Beek,Q273749,Q122190595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralph Diederen,https://verkiezingsarchief.nl/kandidaten/20qyv7/Ralph_Diederen
58,2.0,CDA,1.0,R.,Ralph,,Diederen,m,Beek,378,GR2018Beek,Q273749,Q122190595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralph Diederen,https://verkiezingsarchief.nl/kandidaten/20qyv7/Ralph_Diederen
59,2.0,CDA,1.0,R.,Ralph,,Diederen,m,Beek,581,GR2022Beek,Q273749,Q122190595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralph Diederen,https://verkiezingsarchief.nl/kandidaten/20qyv7/Ralph_Diederen
60,,PvdA,,M.,Mohamed,,Mohandis,,,1401.0,GR2010Gouda,Q275441,Q861657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Mohandis,https://verkiezingsarchief.nl/kandidaten/igux/Mohamed_Mohandis
61,8.0,ChristenUnie,5.0,M.E.,Thera,de,Haan-de Jong,v,Gouda,120.0,GR2014Gouda,Q239539,Q106191736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thera de Haan-de Jong,https://verkiezingsarchief.nl/kandidaten/1r822g/Thera_de_Haan-de_Jong
62,2.0,Partij van de Arbeid (P.v.d.A.),2.0,M.,Mohamed,,Mohandis,m,Gouda,538.0,GR2018Gouda,Q275441,Q861657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Mohandis,https://verkiezingsarchief.nl/kandidaten/igux/Mohamed_Mohandis
63,4.0,ChristenUnie,16.0,M.E.,Thera,de,Haan-de Jong,v,Gouda,36.0,GR2018Gouda,Q239539,Q106191736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thera de Haan-de Jong,https://verkiezingsarchief.nl/kandidaten/1r822g/Thera_de_Haan-de_Jong
64,4.0,ChristenUnie,31.0,M.H.,Mirjam,,Bikker,v,Gouda,6.0,GR2018Gouda,Q239539,Q20100030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirjam Bikker,https://verkiezingsarchief.nl/kandidaten/byta6/Mirjam_Bikker
65,2.0,ChristenUnie,12.0,M.E.,Thera,de,Haan - de Jong,v,Gouda,129.0,GR2022Gouda,Q239539,Q106191736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thera de Haan-de Jong,https://verkiezingsarchief.nl/kandidaten/1r822g/Thera_de_Haan-de_Jong
66,2.0,ChristenUnie,47.0,M.H.,Mirjam,,Bikker,v,Gouda,36.0,GR2022Gouda,Q239539,Q20100030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirjam Bikker,https://verkiezingsarchief.nl/kandidaten/byta6/Mirjam_Bikker
67,3.0,Partij van de Arbeid (P.v.d.A.),10.0,M.,Mohamed,,Mohandis,m,Gouda,121.0,GR2022Gouda,Q275441,Q861657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Mohandis,https://verkiezingsarchief.nl/kandidaten/igux/Mohamed_Mohandis
68,10.0,Partij voor de Dieren,14.0,R.J.,Rosalie,,Bunnik,v,Gouda,52.0,GR2022Gouda,Q663535,Q123176108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosalie Bunnik,https://verkiezingsarchief.nl/kandidaten/21c3ak/Rosalie_Bunnik
69,2.0,Aalsmeerse Belangen,3.0,D.,Dick,,Kuin,m,Kudelstaart,440.0,GR2014Aalsmeer,,Q123176502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dick Kuin,https://verkiezingsarchief.nl/kandidaten/21c3li/Dick_Kuin
70,5.0,Absoluut Aalsmeer,1.0,D.,Dick,,Kuin,m,Kudelstaart,1407.0,GR2018Aalsmeer,,Q123176502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dick Kuin,https://verkiezingsarchief.nl/kandidaten/21c3li/Dick_Kuin
71,3.0,Absoluut Aalsmeer,1.0,D.,Dick,,Kuin,m,Kudelstaart,1586.0,GR2022Aalsmeer,,Q123176502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dick Kuin,https://verkiezingsarchief.nl/kandidaten/21c3li/Dick_Kuin
