,Lijstnummer,Aanduiding,Positie,Initialen,Roepnaam,Tussenvoegsels,Achternaam,Geslacht,Woonplaats,Stemmen,Verkiezing,Party_WD_id,Qid,Positie_Groningen,Positie_Fryslan,Positie_Drenthe,Positie_Overijssel,Positie_Flevoland,Positie_Nijmegen,Positie_Arnhem,Positie_Utrecht,Positie_Amsterdam,Positie_Haarlem,Positie_Den_Helder,Positie_Den_Haag,Positie_Rotterdam,Positie_Dordrecht,Positie_Leiden,Positie_Zeeland,Positie_Tilburg,Positie_Den_Bosch,Positie_Limburg,Positie_Caribisch_Nederland,Stemmen_Groningen,Stemmen_Fryslan,Stemmen_Drenthe,Stemmen_Overijssel,Stemmen_Flevoland,Stemmen_Nijmegen,Stemmen_Arnhem,Stemmen_Utrecht,Stemmen_Amsterdam,Stemmen_Haarlem,Stemmen_Den_Helder,Stemmen_Den_Haag,Stemmen_Rotterdam,Stemmen_Dordrecht,Stemmen_Leiden,Stemmen_Zeeland,Stemmen_Tilburg,Stemmen_Den_Bosch,Stemmen_Limburg,Stemmen_Caribisch_Nederland,Stemmen_Maastricht,Positie_Maastricht,Stemmen_Venlo,Positie_Venlo,Stemmen_s-Gravenhage,Positie_s-Gravenhage,Stemmen_s-Hertogenbosch,Positie_s-Hertogenbosch,Stemmen_Gelderland,Positie_Gelderland,Stemmen_Noord_Holland,Positie_Noord_Holland,Stemmen_Zuid_Holland,Positie_Zuid_Holland,Stemmen_Noord_Brabant,Positie_Noord_Brabant,Stemmen_Bonaire,Positie_Bonaire,Stemmen_Saba,Positie_Saba,Stemmen_Sint_Eustatius,Positie_Sint_Eustatius,Stemmen_Buitenland,Positie_Buitenland,Stemmen_Den Helder,Positie_Den Helder,Naam,url
1457,19.0,Nieuw Sociaal Contract,,R.Y.,Rosanne,,Hertzberger,v,Rotterdam,,TK2023,,Q29317688,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosanne Hertzberger,https://verkiezingsarchief.nl/kandidaten/hgdo8/Rosanne_Hertzberger
1458,19.0,Nieuw Sociaal Contract,,F.H.,Faith,,Bruyning,v,Almere,,TK2023,,Q123173875,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faith Bruyning,https://verkiezingsarchief.nl/kandidaten/21c1kj/Faith_Bruyning
1459,19.0,Nieuw Sociaal Contract,,O.C.,Olger,van,Dijk,m,Amersfoort,,TK2023,,Q14853562,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olger van Dijk,https://verkiezingsarchief.nl/kandidaten/8ud2y/Olger_van_Dijk
1460,19.0,Nieuw Sociaal Contract,,H.,Harm,,Holman,m,Roden,,TK2023,,Q123174051,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harm Holman,https://verkiezingsarchief.nl/kandidaten/21c1pf/Harm_Holman
1461,19.0,Nieuw Sociaal Contract,,D.T.,Diederik,,Boomsma,m,Amsterdam,,TK2023,,Q122830784,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diederik Boomsma,https://verkiezingsarchief.nl/kandidaten/214ou8/Diederik_Boomsma
1462,19.0,Nieuw Sociaal Contract,,A.,Annemarie,,Heite,v,Bedum,,TK2023,,Q123173859,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annemarie Heite,https://verkiezingsarchief.nl/kandidaten/21c1k3/Annemarie_Heite
1463,19.0,Nieuw Sociaal Contract,,I.G.,Ilse,,Saris,v,Winterswijk,,TK2023,,Q122841385,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilse Saris,https://verkiezingsarchief.nl/kandidaten/214x0p/Ilse_Saris
1464,19.0,Nieuw Sociaal Contract,,N.T.P.,Natascha,,Wingelaar,v,Stein,,TK2023,,Q123173943,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natascha Wingelaar,https://verkiezingsarchief.nl/kandidaten/21c1mf/Natascha_Wingelaar
1465,19.0,Nieuw Sociaal Contract,,W.J.,Willem,,Koops,m,s-Gravenhage,,TK2023,,Q123176472,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willem Koops,https://verkiezingsarchief.nl/kandidaten/21c3ko/Willem_Koops
1466,19.0,Nieuw Sociaal Contract,,N.,Nora,,Achahbar,v,s-Gravenhage,,TK2023,,Q123176473,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nora Achahbar,https://verkiezingsarchief.nl/kandidaten/21c3kp/Nora_Achahbar
1467,19.0,Nieuw Sociaal Contract,,A.,Sander,van,Waveren,m,Utrecht,,TK2023,,Q123176474,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sander van Waveren,https://verkiezingsarchief.nl/kandidaten/21c3kq/Sander_van_Waveren
1468,19.0,Nieuw Sociaal Contract,,M.C.,Ria,de,Korte-Verhoef,v,Baambrugge,,TK2023,,Q28861171,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ria de Korte-Verhoef,https://verkiezingsarchief.nl/kandidaten/h6lf7/Ria_de_Korte-Verhoef
1469,19.0,Nieuw Sociaal Contract,,N.P.,Nathaly,,Boelhouwer,v,Rockanje,,TK2023,,Q122854319,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathaly Boelhouwer,https://verkiezingsarchief.nl/kandidaten/2156zz/Nathaly_Boelhouwer
1470,19.0,Nieuw Sociaal Contract,,M.A.C.,Marco,,Schouten,m,Leersum,,TK2023,,Q123176475,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Schouten,https://verkiezingsarchief.nl/kandidaten/21c3kr/Marco_Schouten
1471,19.0,Nieuw Sociaal Contract,,A.J.,Bram,,Kouwenhoven,m,s-Gravenhage,,TK2023,,Q123176476,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bram Kouwenhoven,https://verkiezingsarchief.nl/kandidaten/21c3ks/Bram_Kouwenhoven
1472,19.0,Nieuw Sociaal Contract,,V.C.H.M.,Vincent,,Verouden,m,Brussel (BE),,TK2023,,Q123176477,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincent Verouden,https://verkiezingsarchief.nl/kandidaten/21c3kt/Vincent_Verouden
1473,19.0,Nieuw Sociaal Contract,,J.A.H.,Bart-Jan,,Heine,m,Beilen,,TK2023,,Q123176478,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bart-Jan Heine,https://verkiezingsarchief.nl/kandidaten/21c3ku/Bart-Jan_Heine
1474,19.0,Nieuw Sociaal Contract,,S.F.W.,Simon,,Pouwelse,m,Rotterdam,,TK2023,,Q122854410,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Pouwelse,https://verkiezingsarchief.nl/kandidaten/21572i/Simon_Pouwelse
1475,19.0,Nieuw Sociaal Contract,,M.M.,Margreet,de,Leeuw-Jongejans,v,Helmond,,TK2023,,Q122854424,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margreet de Leeuw-Jongejans,https://verkiezingsarchief.nl/kandidaten/21572w/Margreet_de_Leeuw-Jongejans
